TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife
10,1,2,4,1,10,1,1980,2000,0,6.57,,0,5000,1,2,10
20,1,2,4,12,10,1,1995,2010,0,9.51,,2,7000,1,2,10
25,1,2,4,12,11,1,2010,2020,0,8.38,,2,6000,1,2,10
26,1,2,4,12,12,1,2020,,0,7.18,,2,5500,1,2,10
30,1,2,4,1,11,1,2000,2010,0,5.65,,0,5000,1,2,10
40,1,2,4,1,12,1,2010,,0,4.56,,0,5000,1,2,10
50,1,2,4,13,13,1,2015,2030,0,23.99,,2,7000,1,2,10
60,1,2,4,13,13,1,2030,,0,19.23,,2,6000,1,2,10
70,1,3,1,1,1,1,1980,1991,0,8.36,,0,10000,1,5,12
80,1,3,1,1,14,1,2009,2014,0,7.31,,1,10000,1,5,12
81,1,3,1,1,15,1,2015,2019,0,6.71,,1,10000,1,5,12
82,1,3,1,1,16,1,2020,2024,0,6.23,,1,10000,1,5,12
83,1,3,1,1,17,1,2025,2029,0,5.77,,1,10000,1,5,12
84,1,3,1,1,18,1,2030,2034,0,5.35,,1,10000,1,5,12
85,1,3,1,1,19,1,2035,2039,0,4.96,,1,10000,1,5,12
86,1,3,1,1,20,1,2040,2044,0,4.60,,1,10000,1,5,12
87,1,3,1,1,21,1,2045,,0,4.27,,1,10000,1,5,12
90,1,3,1,1,3,1,1992,1995,0,7.65,,0,10000,1,5,12
91,1,3,1,1,14,1,2009,2014,2,3.48,11.10,1,20000,1,5,12
92,1,3,1,1,15,1,2015,2019,2,3.24,10.14,1,17500,1,5,12
93,1,3,1,1,16,1,2020,2024,2,3.00,9.40,1,15000,1,5,12
94,1,3,1,1,17,1,2025,2029,2,2.79,8.72,1,12500,1,5,12
95,1,3,1,1,18,1,2030,2034,2,2.58,8.08,1,12000,1,5,12
96,1,3,1,1,19,1,2035,2039,2,2.40,7.49,1,12000,1,5,12
97,1,3,1,1,20,1,2040,2044,2,2.22,6.95,1,12000,1,5,12
98,1,3,1,1,21,1,2045,,2,2.09,6.44,1,12000,1,5,12
100,1,3,1,1,4,1,1996,1999,0,8.12,,1,10000,1,5,12
110,1,3,1,1,5,1,2000,2004,0,8.15,,1,10000,1,5,12
120,1,3,1,1,6,1,2005,2008,0,7.75,,1,10000,1,5,12
130,1,3,2,1,1,1,1980,1991,0,9.42,,0,15000,1,5,12
140,1,3,2,1,14,1,2009,2014,0,8.35,,1,15000,1,5,12
150,1,3,2,1,3,1,1992,1995,0,8.87,,0,15000,1,5,12
160,1,3,2,1,4,1,1996,1999,0,9.45,,0,15000,1,5,12
161,1,3,2,1,14,1,2009,2014,2,4.01,22.43,1,25000,1,5,12
162,1,3,2,1,15,1,2015,2019,2,3.74,20.49,1,22500,1,5,12
163,1,3,2,1,16,1,2020,2024,2,3.47,19.00,1,20000,1,5,12
164,1,3,2,1,17,1,2025,2029,2,3.22,17.62,1,18000,1,5,12
165,1,3,2,1,18,1,2030,2034,2,2.98,16.33,1,18000,1,5,12
166,1,3,2,1,19,1,2035,2039,2,2.77,15.14,1,18000,1,5,12
167,1,3,2,1,20,1,2040,2044,2,2.57,14.04,1,18000,1,5,12
168,1,3,2,1,21,1,2045,,2,2.41,13.02,1,18000,1,5,12
170,1,3,2,1,5,1,2000,2004,0,9.49,,1,15000,1,5,12
171,1,3,2,1,15,1,2015,2019,0,7.67,,1,15000,1,5,12
172,1,3,2,1,16,1,2020,2024,0,7.12,,1,15000,1,5,12
173,1,3,2,1,17,1,2025,2029,0,6.60,,1,15000,1,5,12
174,1,3,2,1,18,1,2030,2034,0,6.12,,1,15000,1,5,12
175,1,3,2,1,19,1,2035,2039,0,5.67,,1,15000,1,5,12
176,1,3,2,1,20,1,2040,2044,0,5.26,,1,15000,1,5,12
177,1,3,2,1,21,1,2045,,0,4.88,,1,15000,1,5,12
181,1,3,2,1,6,1,2005,2008,0,8.86,,1,15000,1,5,12
190,1,3,3,1,1,1,1980,1991,0,10.50,,0,22000,1,5,12
191,1,3,3,1,14,1,2009,2014,2,4.99,30.00,1,32500,1,5,12
